cost_line_item,note,netto_unit_eur,quantity,netto_total_eur,vat_pct,vat_amount_eur,total_eur,advance_paid_eur
Location — Affitto villa,4 date + 1 extra data,7400,1.0,37000,0.22,8140,45140,
Location — Affitto Aree Stoccaggi,,400,1.0,2000,0.22,440,2440,
Location — [REDACTED],,300.0,1.0,1500,0.0,0,1500,
Amministrativo — Commercialista,,330.0,1.0,1650,0.22,363,2013,
Amministrativo — Licenza Pubblico spettacolo,,146,1.0,730,0.22,160.6,890.6,
Amministrativo — Convocazione Commissione,,25,1.0,125,0.22,27.5,152.5,
Amministrativo — Ingegneri e certificatori,,625,1.0,3125,0.22,550.0,3675,
Amministrativo — Assicurazione,,70,1.0,350,0.22,77,427,
Amministrativo — Inail,F24,10.0,1.0,50,0.0,0,50,
Amministrativo — [REDACTED],Invio Pratica F24,50.0,1.0,250,0.22,55,305,
Amministrativo — Trasmissione Inail,,10.0,1.0,50,0.0,0,50,
Amministrativo — Tassa sui libri social,,61.974,1.0,309.87,0.0,0,309.87,
Amministrativo — Costi gesitone annui,PEC,40.0,1.0,200,0.22,44,244,
Amministrativo — Conto in banca,,54.4,1.0,272,0.22,59.84,331.84,
Amministrativo — SIAE,,900.0,1.0,4500,0.22,990,5490,
Amministrativo — Stampa Massiva,,100.0,1.0,500,0.22,110,610,
Amministrativo — PR,,1800,1.0,9000,0.0,0,9000,
Amministrativo — SCIA + Marca da bollo + ASL,,91.6,1.0,458,0.0,0,458,
Amministrativo — Amf System,,200.0,1.0,1000,0.22,220,1220,
Team Pre-Produzione — [REDACTED],,,1.0,,0.22,0.0,0.0,
Produzione — Allestimento x commissione,[REDACTED],440,1.0,2200,0.22,484,2684,
Produzione,[REDACTED],67.2,1.0,336,0.22,73.92,409.92,
Produzione,Estintori/segnaletica,55.2,1.0,276,0.22,60.72,336.72,
Produzione,Vernice ignifuga,55.73770492,1.0,278.6885246,0.22,61.31147541,340,
Produzione,Transenne + Bangi,600,1.0,3000,0.22,660,3660,
Produzione — [REDACTED],,400,1.0,2000,0.0,0,2000,
Produzione — [REDACTED],,340,1.0,1700,0.0,0,1700,
Produzione — Service tecnico,Party,3935.0,1.0,19675,0.22,4328.5,24003.5,
Produzione,Commissione,350.0,1.0,350,0.22,77,427,
Produzione — Allestimenti,Prospettiva,510.4,1.0,2552,0.22,561.44,3113.44,
Produzione — Furgone durante eventi,Corvisieri,150.0,1.0,750,0.22,165,915,
Produzione — Mondezza,Ecomoving,500,1.0,2500,0.22,550,3050,
Produzione — Bagni Chimici + Transenne,Sebah,354,1.0,1770,0.22,389.4,2159.4,
Team Comunicazione — Wix,Website,27,1.0,135,0.0,0,135,
Team Comunicazione — Dinamica,SME,1200.0,1.0,6000,0.0,0,6000,
Team Comunicazione — Photografer,,150.0,1.0,750,0.0,0,750,
ARTISTICO,,2350.0,1.0,11750,0.22,2585,14335,
ENTRATA — [REDACTED],Dalle 11.30 alle 20.00,180.0,1.0,900,0.0,0,900,
ENTRATA — [REDACTED],,180.0,1.0,900,0.0,0,900,
CASSA — [REDACTED],,130,1.0,650,0.0,0,650,
CASSA — [REDACTED],,100.0,1.0,500,0.0,0,500,
CASSA — [REDACTED],,100.0,1.0,500,0.0,0,500,
CASSA — [REDACTED],,100.0,1.0,500,0.0,0,500,
ANIMAZIONE — [REDACTED],,100.0,1.0,500,0.0,0,500,
ANIMAZIONE — [REDACTED],,100.0,1.0,500,0.0,0,500,
ANIMAZIONE — Animazione Bimbi,,120.0,1.0,600,0.0,0,600,
SICUREZZA — BIG,,2100,1.0,10500,0.22,2310,12810,
PISCINA — Bagnino,,180.0,1.0,900,0.0,0,900,
FOOD & DRINK — Ghiaccio,,600.0,1.0,3000,0.22,660,3660,
FOOD & DRINK — Food Latteria,,3000.0,1.0,15000,0.1,1500,16500,
FOOD & DRINK — Caffè,,216.5,1.0,1082.5,0.22,238.15,1320.65,
FOOD & DRINK — Cartaria Appia,,116.57,1.0,582.85,0.22,128.227,711.077,
FOOD & DRINK — Pratesi,,198.47,1.0,992.35,0.22,218.317,1210.667,
FOOD & DRINK — Montenegro + Partesa,,6000.0,1.0,30000,0.22,6600,36600,
FOOD & DRINK — Vino Fioranello,,600,1.0,3000,0.22,660,3660,
WAY FINDING — Tipografia 5M &/ Prospettiva,,100.0,1.0,500,0.22,110,610,
EXTRA,,400.0,1.0,2000,0.22,440,2440,
